,Triage,Features,History_days,Weather_avg_h,Model,Parameters,NumTrgSamples,NumTestSamples,TrainAcc,TestAcc,Precision,Recall,F1,TP,TN,FP,FN,ImprOverMajTest,ImprOverMajTrain
0,pulse_Triage,History,2,-1,1Dummy,Majority,2672,296,0.7159703104087595,0.7159671034671035,0.0,0.0,0.0,0.0,212.5,0.0,84.3,0.0,0.0
1,pulse_Triage,History,2,-1,1Dummy,Stratified,2672,296,0.5469818179066801,0.5657043407043407,0.28655937091424544,0.26489185130017745,0.27475540834383005,22.4,156.5,56.0,61.9,-0.15026276276276274,-0.16898849250207937
2,pulse_Triage,History,2,-1,DT,10-None,2672,296,0.7402664765937985,0.7382029757029757,0.7055802095568502,0.23609135892755861,0.35296670777750044,19.9,204.1,8.4,64.4,0.0222358722358722,0.024296166185039048
3,pulse_Triage,History,2,-1,DT,10-auto,2672,296,0.7402664765937985,0.7382029757029757,0.7055802095568502,0.23609135892755861,0.35296670777750044,19.9,204.1,8.4,64.4,0.0222358722358722,0.024296166185039048
4,pulse_Triage,History,2,-1,DT,10-log2,2672,296,0.7402664765937985,0.7382029757029757,0.7055802095568502,0.23609135892755861,0.35296670777750044,19.9,204.1,8.4,64.4,0.0222358722358722,0.024296166185039048
5,pulse_Triage,History,2,-1,DT,20-None,2672,296,0.7402664765937985,0.7382029757029757,0.7055802095568502,0.23609135892755861,0.35296670777750044,19.9,204.1,8.4,64.4,0.0222358722358722,0.024296166185039048
6,pulse_Triage,History,2,-1,DT,20-auto,2672,296,0.7402664765937985,0.7382029757029757,0.7055802095568502,0.23609135892755861,0.35296670777750044,19.9,204.1,8.4,64.4,0.0222358722358722,0.024296166185039048
7,pulse_Triage,History,2,-1,DT,20-log2,2672,296,0.7402664765937985,0.7382029757029757,0.7055802095568502,0.23609135892755861,0.35296670777750044,19.9,204.1,8.4,64.4,0.0222358722358722,0.024296166185039048
8,pulse_Triage,History,2,-1,DT,5-None,2672,296,0.7402290374324357,0.738539676039676,0.7080432637440424,0.23609135892755861,0.3533474425956996,19.9,204.2,8.3,64.4,0.022572572572572502,0.024258727023676263
9,pulse_Triage,History,2,-1,DT,5-auto,2672,296,0.7402290374324357,0.738539676039676,0.7080432637440424,0.23609135892755861,0.3533474425956996,19.9,204.2,8.3,64.4,0.022572572572572502,0.024258727023676263
